Food group,Variable,Value,Commodity
Dairy (cup) - Total population,Away from home-School-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Children age 2–19,Away from home-School-2017–18,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Adults age 20–64,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Seniors age 65 and above,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income < 185% poverty line,Away from home-School-2017–18,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income 185–300% poverty line,Away from home-School-2017–18,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income > 300% poverty line,Away from home-School-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population,Away from home-School-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Children age 2–19,Away from home-School-2017–18,0.13,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Adults age 20–64,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Seniors age 65 and above,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income < 185% poverty line,Away from home-School-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income 185–300% poverty line,Away from home-School-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income > 300% poverty line,Away from home-School-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population,Away from home-School-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Children age 2–19,Away from home-School-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Adults age 20–64,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Seniors age 65 and above,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income < 185% poverty line,Away from home-School-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income 185–300% poverty line,Away from home-School-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income > 300% poverty line,Away from home-School-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population,Away from home-School-2017–18,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Children age 2–19,Away from home-School-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Adults age 20–64,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Seniors age 65 and above,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income < 185% poverty line,Away from home-School-2017–18,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-School-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income > 300% poverty line,Away from home-School-2017–18,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population,Away from home-School-2017–18,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Children age 2–19,Away from home-School-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Adults age 20–64,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-School-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-School-2017–18,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
